name,type,ingredients,alcohol_content,volume,awards,additional_info,product_introduction,pairing_food,brewery,address,website,contact_info,Naver Name,Naver Price,Naver Shipping Cost,Naver Link
삼양춘 스파클링,"약주, 청주","정제수, 쌀(국내산), 전통누룩(밀), 탄산가스, 효모, 정제효소제",13%  ,500ml,,,"삼양춘 약주에 스파클링을 가미하여 향긋한 과실향과 꿀향, 곡물향이 어우러져 조화를 이룬다. 탄산이 주는 청량한 산미 끝에 바닐라향이 맴돈다.","카프레제 샐러드, 카나페, 감바스 알 아히요, 디저트",삼양춘,"인천광역시 남동구 호구포로 50, 8층 819-1호 (엘아이지식산업센터)",http://samyangchoon.com/,,[송도향] 삼양춘 스파클링 13도 500ml,"23,000원","3,000원",https://cr.shopping.naver.com/adcr.nhn?x=MiC1owzQLh%2BpzL1pt3ML1P%2F%2F%2Fw%3D%3Ds1w5eOhkhII2R1TsiUrJDVae25BO3fh4JeHefD75jdT6O7Bs4bM4%2B%2F9XDhjXtuy%2FySs7WBeyOZwS0ly4ci6cr2DgXdTj1xBYFE64c1AWVmextfp0XSxwd%2B%2BPFWY49ht0mumv%2BqQaT6fAhZ8RgF6BSAAh3w47t3WHTF5IweFaV5spYqHylY7bKa%2FdJRGucgbbe6%2FRTpeXj90hvhHTAItWKcJucfhIqLCWoYNCdt3xXibOk%2BNWHvC%2BZwgCnmSWHzudjZLKas7JzB5tVK%2FTB933fHIBsJjzV%2F3vl5Lmd9HbkUGI%2FzdYC%2FwYAihDQzAs9Z5v9lBctx1LARFsktluCexeDOmWoMmcSetxJ9qKjyNZ8EVdMDUtSjQzmD%2FB4bCWjkHT9g3oftotNc2%2FOVfNki5DTuYwefsEME1qpc2agpsB5My8nR%2BxhP4%2BSfBd2iYQ2fuRpIdO8aoqRPn8SpfHNHCpIpX69ZgNovf%2B3WTuE3PCp0Q%2FW3tXn6LEYDVnnZF1UDfInQyxA3Z%2FpOOhrgq0IXqQvWtnhNc7hUDLEBvk0loP8UyF0fSDbPWacYjnpFef5GzFx0nf8bhutgQ2LIFCNCAmu5E%2FiHMA%2FCsdnQ2nbF%2F0%2FKGZWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=39655528178&catId=50014580
맑은내일 Winery 단감명작,과실주,"단감, 정제수, 설탕, 효소제, 무수구연산, 효모, 무수아황산(산화방지제), 소브산(보존료)",7%%  ,750ml,,,원물 그대로 발효하여 본래의 맛을 최대로 살리며 영양성분 또한 최대로 추출한다. 부담 없이 즐길 수 있는 알코올 도수 7도에 질감도 맛도 가볍고 산뜻하다. 당도는 적절하고 신맛은 기분 좋게 다가와서 식전주로 입맛을 돋우기에 좋다.,"식전주로 추천드리며 샐러드와 해산물처럼 가벼운 음식과 추천한다. 케이크, 마카롱과 같은 디저트 등과 함께 드시는 것도 좋다.",농업회사법인 우포의아침 주식회사,경상남도 창녕군 대지면 대지농공단지길 40,http://www.good-tomorrow.co.kr,,우포의아침 맑은내일 WINERY 단감명작 7도 300ml,"5,000원","2,000원",https://cr.shopping.naver.com/adcr.nhn?x=Wy6m79txsxQf26CsO%2Ft1dP%2F%2F%2Fw%3D%3DsSYfA7M%2FI4Hn3%2BpaMOo%2BEi2sJm8F3jFixxQG61Gbd%2F6%2B1IPevQn1cbUMIxEugKV9OPRp1%2Fj2GiCIhQj9W%2FuLvnrFP4cXEhhQ1DoAzHOd1NCN4abyDw44Gzmp5DDFbNHPEx0%2FPl%2BqVHWIzQeL6OCUhq7jIEKwwMxkaaNXjxLGSIsXeVQPzPn0M%2BcBTrqMXcraz5rQ7ZNfsYgNlbd17y%2BNTzGE6mu4vV5ycChsIJK2t86o13mbNgIIuqJC8Dd0yeBfXGpMj%2BitCP2kFlsjR9via9qTq%2FbD2MGowZHhNOyBhpCeUgj7JhipZW7dJJfFyMQl0joGldSr2ZRb%2BQNTkL6kS5mSlRG%2B8uVtJNGiffYgpN%2FS24lo1AzzV5pD5wRXndTINXPYdW8cBcmig%2BKZq2dc1JxVDXcHQy8LaV3ElujPzYxt%2B%2BM0M6lyaEI0RGhFW58i1k221Jf%2FsExasljpAZtZYkj8%2BYrX9oI40R34AylUZ3fMHol%2FbGfdofmKXP3s1JXSSKZCaLYt4z33spzbSTlH2%2BiDO0hb2%2BaL0nq9PGiar6ipMgRMcs3KzajSOCbGpFQmoKxUJRzthb5zhCV0%2F6PLwFnonV1m385XWc3mZxs%2BK%2F9H4WZ1N7jfFw%2Bk8%2F%2BU1Y0HlQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=87127158108&catId=50014640
고도리 샤인머스캣 화이트와인,과실주,"샤인머스캣99%(국내산), 설탕, 효모, 소브산칼륨, 메타중아황산칼륨",10.5%  ,375ml / 750ml,,,직접 농사지어 GAP인증받은 포도로 10월 중순 포도가 잘 익었을때 수확하여 당일 수확한 포도를 재경파쇄를 거쳐 발효 및 숙성시켜 만든 와인으로 샤인머스켓 특유의 향과 맛이 나는 와인이다.,"망고와 같은 향이나 망고포도로 불리우는 포도로 깔끔하고 상큼한 와인으로 흰살생선, 샐러드, 각종 안주류, 핑거푸드, 기타 육류와 어울린다.",고도리 와이너리,경북 영천시 고경면 고도리 494-3,http://고도리와인.com,,고도리 샤인머스캣 화이트와인 375ml,"20,000원",무료,https://cr.shopping.naver.com/adcr.nhn?x=pwbrhUOXU6T4VzEA%2B81gNP%2F%2F%2Fw%3D%3DsmR8jGj500UhGqM49PCBnTiU3wgf6hNrYlB386Nwx29PBpTV%2FUzlgO7%2FP7UXWdxM2AWDJKIHu9vR7Z5oK2N0zt43CV0TA0TmcZ8Ld6vyr7XQX8rrPil94ZvZ8Z21ZqdxXl5mDNuRu4qghTybqul5z6k7VFOAhzmb090f446yZWkcWVZFqijYSSEmuMokh%2BGaHTiU0I55YuiOsz1%2BUWDSUwfAO2hWI8k2yusr9A9W4EXnR60BmnMes0nytSydcjpcRsS58mVrPPvDWXpBEviuZ%2B5GHTXgHP5KooUCqAFP%2BCCDDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqtx5L1uIAElfURidIqd4XEmP1EksI7dT6qKIHLFC8q3NhgIxzJEkWC8mXduSRr%2FqsPw5WJ7ukKyTDgomPff76AU%2BhVEYoTr1TSuvmq6LxRF2UcGqy0mZhhrc0eHomPDC8gFgySiB7vb0e2eaCtjdM7eNwldEwNE5nGfC3er8q%2B10AHFW62QcQpmGv3hDhNFC3s4vhf3ovbKlxqtmjETKYrmxChwsQYZrTCyV4dzakWStcWMeqmQzSZpsYUXNfVDp9g%2BY7eEWnZu3JDtkZ4BpOe8DfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=45176050093&catId=50014640
소백산(샤토소백) 스위트 레드와인,과실주,국내산포도 100%,12%  ,750ml,,,"다른 떼루아 다른 맛과 향기, 소백산자연을 그대로 담은 명품 한국와인이다. 우리나라 캠벨포도 본연의 달콤한 맛과 향 그리고 부드러운 목넘김이 특징이다.",제철과일을 넣은 샹그리아를 만들어 마시면 달콤새콤하게 즐길 수 있다.,산내들 와이너리,경북 영주시 단산면 영단로601번길 64,https://smartstore.naver.com/sobaekwine,,,,,
주홍춘,탁주,"포천쌀, 흑미찹쌀, 전가네이화곡, 연잎, 정제수",10%  ,350ml,,,흑미찹쌀로 빚은 달달하고 향긋한 탁주이다.,매콤한 요리 및 간단한 안주류,술빚는 전가네,경기도 포천시 영북면 산정호수로 335,https://www.sooldoga.com/home,,술빚는 전가네 주홍춘 10도 350ml,"20,000원","4,000원",https://cr.shopping.naver.com/adcr.nhn?x=zFguovsTr1e7OEG6e9dz2v%2F%2F%2Fw%3D%3DsPApb74TekcPMw2xWB5DHIq%2BTM97fAYueeChUumsK%2FppOtDub5D%2FcRH%2BstnlDFgtaPz7gCoLA3WjLWD8RXx0em45UbDPNpGKTSPH5Aeb6WSAPJgywXW2h%2FHzfuNqITtndmmaZTPUW9dJiYDx3TRUNabTIbLcJrh1ZEDdBJtRu4ptyZ7dYZFkibxQLFrT6ca7IOaAJz8ZbklnsPCGYwOTIzvJg93%2FRJAPeuI7yeg4yoYyrCRdUxvA177jl0VodmokhNUJnit2TyE8yh3GxJ0fiPGOyL%2BwXchSQcHxtCdiZStREgsTaGZ3lftCIvjSUQ3gYlFD7B8o3cpNL8BRxldh4HniRovO945xR%2FAVKCkiuk8IQx1uA6%2B21%2BbhLffpRObks0gd%2BX08xyYpgskW7sw9k6mBj0iGa24Rukim9oUa5yJlpCidwYm8assP33J4ULrBb1bM1oe1%2F5QSTi1sKOSCkFa19JU7a7bkkP94hp%2FuC9WQphM4Xkqwer6KAYBzWkB5n2nzoB60WCtbX8288tlT6pM9IrL3FGVzVQE0qLL7yp7MGzn3qnm8Qi79OzTF%2Fk%2FLOaGimR4pR27mrh1IoDTOSgA%3D%3D&nvMid=83033549676&catId=50014560
정감생막걸리,탁주,"정제수, 백미(국내산), 찹쌀(국내산), 입국(국내산), 누룩(국내산), 조효소제(밀), 미강(쌀겨), 젖산(산도조절제), 혼합제제(효모, 덱스트린, 유당), 혼합제제(스테비올 배당체, 덱스트린), 혼합제제(효소:아밀라아제, 효소:글루코아밀라아제, 탄산칼슘, 황산칼슘)",6%  ,750ml,,,깊은 산골 청정수와 신토불이 하동산 쌀과 찹쌀 그리고 우리밀 누룩으로 장기 저온에서 발효숙성하여 장인의 정성이 빚어낸 한 잔에 오미를 담아 달빛같은 감성이 살아 숨쉬는 전통 곡주이다.,,악양주조,경남 하동군 악양면 악양서로 363,https://smartstore.naver.com/akyangjujo,,김포금쌀 선호 생막걸리 6도 750ml,"최저2,400원",무료,https://cr.shopping.naver.com/adcr.nhn?x=dlrwftxnuHBjovwx9Iv%2FFP%2F%2F%2Fw%3D%3DsrYBiyUMjaHaEGQeXFADKcoYUawVYokoMnzXeGlE%2FN17KnziMk5bFzuDsCncQ8emVhPoaAiupUJXK2%2BNNXsVT7DDuUq7FcnDI0a4ixZ%2BeXDAI%2F5cPNthMNiubfEX4kbrmf2bLzTIPT0Dh9Mao0BQ8W0VEfxLJ1MxYToMDbryrnOnDpmNu2Rs3tEPrV0ZTODsbRUiAgbyNQEwxTefMgv3tsZnjpq4K48hJIGdnF2Yp6vremWEDIFWddJ9crjuih6TmNsxoQMIi4H6rAD93tPrx2niYu5wSek8XhEaGUKB7qP1GfQLgKJPTOwZNlYlqorj1UrLZ80VBGYzSgVTgrY5iQEPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpb94T2J4eXu%2BCgCebgcEUAkYtiZ9zcjf15Y1jffkHB0clG8DP7POW%2FAt0itf1265BWHUTh1rq%2FVgvxCev1ZCb2UojX3g7fJUZGRMAq7k1lOfjBY4rYMFy0rBYKn0yCO9ezi9ktUYg9p4Mgnql2uFuog3c85cNcZWZZNT0lGLdn60ZwtvLMJTlQOx%2BuKYSso0cUIGasDAtPhkVz5SWR87ljJ8hZOWtoqqNL1sORRNz8FdRN64mBm9G8QruBkLDcHT6RR0Qu4mBvrEhaHB64Kwd74ZzF0V9H8r5iUMU5xa1aINvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=29413342619&catId=50014560
악양생막걸리,탁주,"정제수, 백미(국내산), 입국(국내산), 누룩(국내산), 조효소제(밀), 젖산(산도조절제), 혼합제제(효모, 덱스트린, 유당), 혼합제제(스테비올 배당체, 덱스트린), 혼합제제(효소:아밀라아제, 효소:글루코아밀라아제, 탄산칼슘, 황산칼슘)",6%  ,750ml,,,지리산 청정수와 국내산 햅쌀 그리고 우리밀 누룩으로 저온숙성하여 빚어낸 다양한 유익균이 살아 숨쉬는 전통주이자 경남 하동의 지역특산주이다.,전류와 육회와 어울린다.,악양주조,경남 하동군 악양면 악양서로 363,https://smartstore.naver.com/akyangjujo,,악양주조 악양생막걸리  6도 750ml,"3,150원","3,000원",https://cr.shopping.naver.com/adcr.nhn?x=3N7Vwy5LNdI4HSj6wlOub%2F%2F%2F%2Fw%3D%3DsNUTlciS2bvvIuKIi2T%2FBHLC47ryGBrY4iOC7StX9CYXqFgxnnc9bfxRLAiGcfKknkZSArRdWg3ZLprMdkjawbuc%2FJpQLhKVapiPH%2FZzPCFhLh%2FAZ1s%2FMTgXeTqF1VhROApl0wSo%2F9BNQeB4PW09W1KE8p0Y2FM1ImpWWbFeE%2Bz%2BaLhew7J2pKl7FAnAGTC6LqTE9UHPVGfJkFavLCRsubNPgXuvBPAhorPg%2Fndt3XzdqzI7T32dibswI1L7JmyDguM900Km5m4sSEQyWiiGcfOnj8lcKQtGOelRbnnxSrmF3Ruoxmm0f%2FxM%2FrOALtCQgKLC5w7uZq8NzLG8rai%2FRcTZoXqL87mJxsgBLP2HELUtVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv%2BXw3ZOHoijcfNa1fh0p236E%2Fn0UA5YKF1qnSqSOjrpF%2Ba29EdVFePukLIwyCJlCAxbIDm6jQjDr1xGPq8uINWOMHn7BDBNaqXNmoKbAeTMveeXSOUZJv%2FqYQ6%2F087A7qa2Ca%2FGlM0WPEoDo0dJHoJfY7WyyNe7JikmpIlWkb2cTPBiuiyJTD94Ki73vfKH%2Bu27OkzB0bvbw6cUGQzc2Qg5rWNLxRrWHCJoudYzHCivGkr4jCIL8x2do773NAwpuJtxxVDudBzWylF0C1SVelwpvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=43167757622&catId=50014560
시향가 미니캔막걸리,탁주,"물, 쌀, 건조토란, 젖산, 누룩, 효모, 정제효소제",8%  ,200ml,,,"언제 어디서나(여행, 캠핑, 차박, 골프,낚시 등) 가볍게 즐길 수 있는 200ml 캔 막걸리로, 발효를 위한 시간을 계획하여 일정량만 직접 생산하여 새로운 토란과 막걸리 조합의 맛과 향을 지닌 술이다.",,시향가주식회사,전라남도 곡성군 곡성읍 낙동원로 20,https://smartstore.naver.com/sihyangga,,시향가 탁주 8도 미니 캔막걸리 200ML 4ea 봄맞이 할인,"10,800원","4,000원",https://cr.shopping.naver.com/adcr.nhn?x=99EeCMJZ2X7VGRJfea8FGP%2F%2F%2Fw%3D%3DsZfQgDeOVV3uZxnuuLqFp8ouTgvg8FjnkcuNwIjIh2tjvGCpKtVdCQh%2FG7%2FPcQMepxzpSSvbjK2Lz76j6Pb6x9u0wemAO4pKe0%2BfPjO4cXtOuLjbneS4%2BU7ijyfeTEjJc3k8E2vRye6tOXJNOjltRIo4kfEBWQKnuiE8yX43Zz%2FyE0BYTDQkKxvsslcEmopZX3TXnOAr4%2FmvhkLKwN%2BIOlSBoXIkOjp7%2FEsN1aYc5URV0RUWm1rW7zlo%2Fk04ZXecvqwkXVMbwNe%2B45dFaHZqJITVCZ4rdk8hPModxsSdH4jwckppsuhdhUARLFzexgDGEV1Rj7k0sRxwByqreZRgaZtD17q3egcBayyLnzeMjuO0B%2F9y3P5Ep1uPF1yC5iUzSVJImW4YQKyvkXhmouhsGoTvwycXRcy8GTajMY%2FRs84p%2FVT6%2FCjFRHYJ2yOAZ2oji2U%2F2dtlfUxOMa59uoSgqtupF006o9YvDl5ZBvOQQw9gEA5Dzf45KWdBahQ3ARm4bJmvprXLmg9%2FCc%2F9Y0xZvhMeLBP5%2FAbhwIkl9xL%2Be3dwP7UbNjIJABWwM7q6UxJuWxJ8M5VlKvfwrJR4wQyIMGbMSXnEL0JwoHR4rxgGPb%2FMNMbTm3Nm1A7cExCsbchDNgqgOvq6z5EpEI5N2xav1Mg%3D%3D&nvMid=83353924801&catId=50014560
빨간쌀막걸리,탁주,,6.5%  ,935ml,,복순도가 X 한율 한정판 막걸리,"매력적인 붉은색을 띄면서 복순도가 손막걸리만의 탄산이 그대로 살아있는 홍국쌀 막걸리이다. 울주쌀에 홍국균을 흩뿌려 7일동안 한 번, 복순도가 가양주 전통방식 그대로 30일간 또 한번 두번 발효하여 출하한다.",족발과 잘 어울린다.,복순도가,울산광역시 울주군 상북면 향산리 439,http://www.boksoon.com/,,복순도가 빨간쌀 막걸리 6.5도 935ml,"최저16,000원","4,000원 포함",https://cr.shopping.naver.com/adcr.nhn?x=n5j%2FYFJi%2FwVTP5ibG%2F1dvf%2F%2F%2Fw%3D%3DsMVpQpJdyz%2FFrMArsHCFY78ljbgTGKODQreCZY4tEkmmHd14nf8X1iWAn38FEl%2FaFhP%2Fl%2F4TmkCNDnjeMfFuT1fGFE4X4131hg91xtUbWSqmQgBU6zJ%2B7%2F3%2Fl6DqXcP1uZzW4SrUQcmQ5l4gV%2FKsS0ROK4O8TRVT3uU4J%2BcVmcH5D4P%2Bj2CVvS6QkrpszyaIoiPWmcluIYQoJnK7EIVhlhki1M07TH6yL%2FGzvVkMZyVaakvvaA4WknEIoctbJXaWLd8TLlPTfBpvPbr1ChVDFN73rBCu0z%2FujI%2F%2BGb0wD2Lz39w41fdXxFbhRmXtL6iVSeCUthwQtOk6RrFBwGUsbhasJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8c6TTyKzoYVYGk1tfeKcm8pD04l2e1Hdq9XjIRY%2Bd%2B6nQ9e6t3oHAWssi583jI7jtKvIpjZjYOhdPcP9k2YSq%2BA9eYIHN0YOp7QVFz1FGeKyw8593OR%2Br4qxUoJ1uSinaxJYOmHEm4mTVyqjokGWbzcFn%2B9Vq2Jf9oeGZxk6deN%2FyNHyBUXwWVD2ki0TxnNzyTSdQsAJcdTKAtK49Fnyo0jTAk8ls07h4IJFZZgyHbjcSzxwVRNV%2FYRemZK5z1sCEsBkq4%2BDItXYYA37JGXRWc6RCu7pRa00DBF%2FVlaeKpgdoaKZHilHbuauHUigNM5KA&nvMid=34395240618&catId=50014560
대관람차,탁주,,12%  ,500ml,,,"스피어민트 같은 상쾌하고 시원하면서도 참외와 바닐라가 떠오르는 달콤한 풍미를 갖고 있다. 적당한 바디감에 탄산이 없으며 부드러운 질감과 목 넘김, 깔끔한 끝맛으로 훌륭한 밸런스를 보여준다.","골뱅이 소면, 치즈 맛 팝콘, 오렌지 타르트와 잘 어울린다.",두루미양조장 / 구름아양조장,강원도 철원군 동송읍 금학로 31-72 동송농공단지,http://www.doorumi.cafe24.com/index.html,,대관람차 12도 500ml,"최저13,440원",무료,https://cr.shopping.naver.com/adcr.nhn?x=H3ZukzKfFQxVe9fNu9Xpzv%2F%2F%2Fw%3D%3DsSZ%2BvivzBnt%2F8DMMTq0me0Z4Tkcx0%2FONU1TuCFdChPLnvWijoKsw1PjU33v%2FweZuSw4FN3rCJqSQymEchym3mFGRXU%2BGd%2BWvLwLLWW%2Bc9PzoXRR4X2aWMxTTlSgem7vstL6eCEkFqjSg%2Bf%2Ffh7iSJ60ls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyL0WoHsujWLV7kN9hHMEggTaWkQNEV6cTr52TFd8CQNAqamLuClBb3tXpDpYiWOcZRSBXyuOFBu6Sy%2BH5jhpWzDHBubnpYXFaDlOAj2hjHmw%2BSl8N53mCdjN%2F0nrE7u%2F%2Ba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7v1DfLOhqNAIMBN%2B9G79fuC1EL7PBh6vo%2Bzr1Db8r4ssevI4dxG2B9K0ngz1oXPN8iDVGmtTX8YQBc2HP28uxV9BHS7iYdd4BTrgASNQmm8sFFyqvh4hNpiut9D0p04Uhm1ki99K%2FCmMZjX693of0TOUuXpgcLjo8%2BF%2Ba9IsamQqtB8aaSQvhCOBYfyfG9YfifPbk4XlXCSJ%2FVNqnDoxdJBv4YGjJCSIW1IvBxXT1wG98oQhyNia7oC%2BTvGO3OnueOOAwMGfYPKAOsRjpH5BWvpDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=44371089620&catId=50014560
육십일도,증류주,"쌀, 효모, 젖산, 옥분, 억새어린순, 지초뿌리, 정제수",61%  ,250ml,,,환갑을 축하하는 의미를 가지고 있는 두 번 증류한 증류주이다.,육류 및 생선회,술빚는전가네,경기도 포천시 영북면 산정호수로 322길 28,https://smartstore.naver.com/sooldoga,,,,,
사십오도,증류주,"쌀, 효모, 젖산, 옥분, 억새어린순, 지초뿌리, 정제수",45%  ,250ml,,,두 번 증류한 증류주로 지초가 들어가 깔끔한 맛의 술이다.,육류 및 생선회,술빚는전가네,경기도 포천시 영북면 산정호수로 322길 28,https://smartstore.naver.com/sooldoga,,,,,
선비 보드카,증류주,"정제수, 주정, 쌀증류식소주원액",40%  ,750ml,,,,"장어구이, 맑은 탕",농업회사법인 토끼소주,충청북도 충주시 엄정면 신만리 105-3,https://tokkisoju.com/,,선비 보드카,"38,900원",무료,https://cr.shopping.naver.com/adcr.nhn?x=MWRCD3yLa8LT8x9XKlN0Dv%2F%2F%2Fw%3D%3Dsw%2ByBc2vtScDRBbizluM3Q8QeBo46cxlDfiX6XbsmUt6aDH7YJpkRBQees2cX0%2B5OiVgnb9K7wj256rIVPsfovlPCpWn8tQxaD5n4P28%2BPYbBQTAbI7TTm4WMnJ%2FYNgVsgoGzqB7ZGFsFXF9YsvkXNZ%2FfaV%2FyFESX0%2BSSNMVcY6t6x%2BrU7Ia3%2FwMM4LohcRuTkqVqs8wDx9PNTCbNT4bz2lcMc5CXx2%2Bx6VO0OJch0W%2FByQ4Ux%2FRHSxY5UQHPnSfCEIZJB1yuP5kkcuYnGBP9u2Qvkl1McMi1HJJ7bnAAAbVui0GWpFD17v%2FC4APVxhnKNJZ3tMG7LdOVUuElPObz1gNp4oRHufkGlOJDTMESPCR8YpIgf6LgehoDi7JlM3U5AUaQPTm1x62cUh2F1K2yNhKfxeex7WsoeAvwVszrKBdCW%2BxGQilJatdD6mPPZtN0MjKSmKmnB73y5XL1ruEfScvTtug4vCjEvohqOyQz59liGdDpIrcswrUgH8zquBfnOBjXGSQDpslV1OGa1UrNaWhopkeKUdu5q4dSKA0zkoA%3D&nvMid=45175723901&catId=50014580
산막와이너리 증류주 환희,증류주,국내산 캠벨얼리 100%,40%  ,375ml,,,"산막와이너리의 와인 화몽을 동증류기로 증류, 오랜 시간에 걸쳐 최대한 천천히 증류주를 뽑아내어 맛과 향이 풍부함.",,산막 와이너리,충청북도 영동군 영동읍 산막골길 31-45,http://www.sanmacwine.com/web/main/,,[한국 영동와인] 산막와이너리 증류주 스피릿 (40도) 환희 375ml,"49,000원","3,000원",https://cr.shopping.naver.com/adcr.nhn?x=jLT7Nw5QbZhZP5QLJQJCEv%2F%2F%2Fw%3D%3Ds9nJSiLXxxbxkwEj5nTncpbnncV3m5tr5UoC1w2BToWtNOTS%2BQBw9XDLlxpXaPWkJQZEaBgupTbOy0I2r8UbDRA9bL65KqowXZvSnP4bfb2RUf793kinYrHQRWfCkLk20gpKwB0ApKsSXzNFBBIz%2FkPK0dbdwiL%2B8Q1wZQVxU%2FEoayrL9UrDTj1hK627g1o6evODkui2Jtlaz3oVo5bv6d44%2FShgVuvWRA99Hg9g1xpCZWczHx1muABnN2WNCdVqeRVUU9scEmQmK5Z8js7B1h7ngnxQ7ssMZd09T0OjyjIxearTBvydD1LUI3JWpCADId3rqYWj2oKFLSdx7TNgnCutEAm1ff7ARJt1S8XgyfySBlPPBooMATtQQt38bd0A8AmtjXCEmWLmCt82%2BzTl3jdRH58eFnqPCTSy5O3BaWtYfNzTDd5OZ6Ug8N6ByqX50SHPXfne8ddp4nGKyoa%2BLmLOFm1jbSb5N3nFVydUm8zgYaLvAuBrIxlj1ceWmdLzsnvNdTcnkA2KOfcxUzphFm0skYRaXLIDd3GNDojBdstZW8hs2WMevrszCruIB%2BpumNiFgIp6Q8IO9tMwX%2FAlCl%2F5untu9c%2FjkIXgHAEkF1QUydMys2paDoHJuiKqNyJ1KhSsAI6MGJRNROGbMMPeiyMcgIRCk8vtGb7Z%2FKGMSEdE%3D&nvMid=82243793940&catId=50014600
고도리 징기스칸 브랜디,증류주,,40%  ,375ml,,2018 찾아가는 양조장,잘 숙성된 레드와인을 증류시켜 오크통에서 1년간 숙성을 거친 뒤 병입한 제품으로 향긋한 과일향과 깊은 오크향이 조화를 이루어 초주와 말주를 제거하여 숙취가 없고 맛이 깔끔합니다.,굴요리 등,고도리 와이너리,경북 영천시 고경면 고도리 494-3,http://고도리와인.com,,고도리브랜디(징기스칸),"42,500원",무료,https://cr.shopping.naver.com/adcr.nhn?x=xYHOwf%2B%2BUpU360zNmCB5tP%2F%2F%2Fw%3D%3DsUr6eIcVPporuCZt3Jf7YS8xYuZKaxI2767Uy10xQqwC15lTeywqheo4pQYUoaBUQ54kHr5UQV01PdeMU%2FMobbzhrJOoAUIoR74clow9q4uO244aWuY8f4GVFcF18x9nJFfoml1X7VBkEzv%2FU%2BPrkt7tTnmnmu8rbP0W%2FpsBymKNwobmhKmWw%2FiqRyhhitYftT724GKPgUEmj8ZouBEmA%2FlQAZs27Gt29BcQXOxPFV8Tm4TKsXKdj53EMUz%2BbU%2FrMboz4QSebPJm%2Bp1fHlNXRLUVVFPbHBJkJiuWfI7OwdYe54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyKiLy5s6BugD3Of5UoGGo2VdrU9gBvTOY8XVxGgpGxxdnh4BDaZ6444U%2F1FkPgc%2FrJ6UiwwOC%2BJld9a59MPQM5qPDwegqU%2BrDfDYOXkKjofdAeI4E8Pf6UWyDFt6BGqcQofWJdSHh9PvsEBiCPRQlG8BWqdS2Ev%2Fr7Y9aHhOMsZ29MwzYt5MbRxYQd4gFmqrfmU3N0kWCShHUw4vdlvoRYWxNIQafK9dxCBpNOwSmcJxpyyLypMw0%2FL0zf80RnU33%2BR79U%2F6Az3gE9mQ%2Flgn57E%3D&nvMid=35713964361&catId=50014640
추사백40 사과 증류식 소주,증류주,,40%  ,500ml,,,추사백은 사과를 세척하여 착즙 후 알코올 도수를 높이기 위해 약 8% 당분을 가당하여 30일 동안 발효하여 감압 방식 증류기로 저온 증류한 술이다.,,예산사과와인,충남 예산군 고덕면 대몽로 107-25,http://www.chusawine.com,,추사백 40도 500ml 예산사과와인 소주 증류주,"32,000원","3,000원",https://cr.shopping.naver.com/adcr.nhn?x=VGtQ7xIjCw%2FLD4tBxnqooP%2F%2F%2Fw%3D%3Ds%2B%2BmwZG04EnX9QPvaGo%2FeqnyY4TpF1GXIZD0Y2UBM4dFHEpiz%2Fr4gdyHM1UYn2Oq%2Fb%2FkhHBesQCPuKeUuP1UyeoY7XnxB5lCSK1Md4GF%2FArYPCrBsDjzaiqrBST6avmDdOTs6B4d7VsLZ9oGfK89cGK1KfHgZkPq62A7zcbVAXMAZe8D%2Bslb7XM0y165h2Iam5rQ7ZNfsYgNlbd17y%2BNTzKjgQzXr%2FbDMfEzD3diuIx75aN8PYyd3pQht3r69PfAU%2B4mKtHLXtJ%2Ft%2BcMSYCC9yD9rXyqENDUD8omnd%2BAEOivf3Vb8LXDlJWzaxi1N0VJ6LeFO5JeLNS6g1ncSL49BqRbkn063Nx6TkJCT0WehlD%2FcLzIt%2Fi8x91fXKTLgbwvOzzzbrTqTBljsy8uJLTw9KLi3%2BOncH1i3DVLIi%2F3zhWpSRav%2BaK3qz03jYg%2Bld93eHewDtwcQ%2BnHgrPWRoH8Qpg%2B8qhP4z63IoUNf3DR%2FmoxXh%2FxAZmPnjjTmK0KX3Pmd8wqHTRW9DHoYLNBLUtZ8%2Fo2XwRRB9bHZct64sBExqkusGvSZZnJA2yQCVBBr3HxBCXyOaOONuV7f1EPl8fpN3tlZoforPNDxL6v6Wbe98dfL7H5x7kc13SEqioNl2IZaBq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=87679151998&catId=50014600
